ç,você
ce,você
vc,você
tbm,também
tbem,também
tambem,também
kd,cadê
kde,cadê
cade,cadê
soh,só
naum,não
nao,não
ñ,não
n,não
mto,muito
mtoo,muito
muitoo,muito
aki,aqui
aqii,aqui
tdo,tudo
td,tudo
hj,hoje
d,de
eh,é
q,que
ke,que
qe,que
pra,para
p/,para
bjos,beijos
bjo,beijos
bjs,beijos
bjuss,beijos
ctza,certeza
ctz,certeza
AC,Acre
AL,Alagoas
AP,Amapá
AM,Amazonas
BA,Bahia
CE,Ceará
DF,Distrito Federal
GO,Goiás
ES,Espirito Santo
MA,Maranhão
MT,Mato Grosso
MS,Mato Grosso do Sul
MG,Minas Gerais
PA,Pará
PB,Paraíba
PR,Paraná
PE,Pernambuco
PI,Piauí
RJ,Rio de Janeiro
RN,Rio Grande do Norte
RS,Rio Grande do Sul
RO,Rondônia
SP,São Paulo
SC,Santa Catarina
TO,Tocantins
apt,apartamento
apto,apartamento
abs,abraços
assacre,massacre
wtf,que?
queem,quem
kem,quem
qm,quem
gta,jogo gta
cs,jogo cs
pqp,palavrão
vsf,palavrão
kct,palavrão
caaralhoo,palavrão
caramba,palavrão
fuder,palavrão
fudeu,palavrão
karalhu,palavrão
caf,café
dnv,de novo
vaai,vai
block,bloquear
joça,porcaria
january,janeiro
janeiroo,janeiro
24horas,24 horas
add,adicionar
adiata,adianta
akele,aquele
aloo,alô
alow,alô
amunicaoque,a munição que
anonymous,anônimo
asked,perguntou
assasino,assassino
assassin,assassino
assassinod,assassino
assisitndo,assistindo
atiradorr,atirador
av,avenida
avendo,havendo
boua,boa
busao,ônibus
buteco,bar
chegaa,chega
cmg,comigo
cntg,contigo
cont,continua
coomo,como
jn,jornal nacional
crack,droga
crianc,criança
ddo,do
deixqr,deixar
dpois,depois
dps,depois
estoria,história
ficadica,sugiro
fzer,fazer
homen,homem
hs,horas
ibagens,imagens
imgs,imagens
kra,cara
lah,lá
msm,mesmo
msma,mesma
nd,nada
ngm,ninguém
nr,número
oq,o que
pq,por que
qndo,quando
qdo,quando
qnd,quando
ql,qual
qria,queria
smp,sempre
vamu,vamos
vdd,verdade
xau,tchau
dvem,devem
ciê,sei
zuaaaano,zuando
tô,estou
galere,galera
chinfrim,ruim
prq,para que
